reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date
1116,20,1,廣大蓮華莊嚴曼拏羅滅一切罪陀羅尼經,Guangda Lianhua Zhuangyan Man Na Luo Mie Yiqie Zui Tuoluoni Jing,The Great Lotus Mandala that Erases and Sin Dharani Sutra,施護,譯,Dānapāla,Translated,宋,Song,983,"Gives the story of the dharani, the text, the miraculous transformations from reciting it, and the details of the mandala and ritual.","Date 983 from Lancaster (2004, 'K 1148')",Korean Canon,http://tripitaka.cbeta.org/T20n1116,2016-10-08
1117,20,1,佛說觀自在菩薩母陀羅尼經,Fo Shuo Guanzizai Pusa Mu Tuoluoni Jing,Avalokiteśvaramātādhāraṇīsūtra,法賢,譯,Faxian,Translated,宋,Song,995-997,"Gives the story of the dharani, the text, its merits.","Sanskrit title and date 995-997 from Lancaster (2004, 'K 1239')",Korean Canon,http://tripitaka.cbeta.org/T20n1117,2016-10-08
1118,20,1,佛說十八臂陀羅尼經,Fo Shuo Shiba Bi Tuoluoni Jing,Eighteen Arms Dharani Sutra,法賢,譯,Faxian,Translated,宋,Song,989-999,Gives the text of the dharani.,"Date 989-999 from Lancaster (2004, 'K 1224j')",Korean Canon,http://tripitaka.cbeta.org/T20n1118,2016-10-08
1119,20,1,大樂金剛薩埵修行成就儀軌,Dale Jingang Saduo Xiuxing Chengjiu Yi Gui,The Great Bliss Vajrasattva Cultivation of Attainments Ritual Manual,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,Gives the text of the dharani and details of the ritual.,"Date 720-774 from Lancaster (2004, 'K 1347')",Korean Canon,http://tripitaka.cbeta.org/T20n1119,2016-10-08
1120A,20,1,金剛頂勝初瑜伽經中略出大樂金剛薩埵念誦儀,Jingang Ding Sheng Chu Yujia Jing Zhong Lue Chu Dale Jingang Saduo Niansong Yi ,Great Bliss Vajrasattva Liturgy from the Vajra Pinnacle Superiod Yoga Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,Gives the text of dharanis in siddham script and Chinese transliteration and pentasyllabic Chinese verse.,"This work contains Siddham characters not displayed in the NTI Reader. Please see <a href='https://21dzk.l.u-tokyo.ac.jp/SAT/satdb2015.php'>SAT</a> to view them. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞麗本, ＜甲＞寛治六年寫仁和寺藏本 Source: Korean Canon; 1.manuscript from the Ninna-ji collection, 6th year of the Kanji era [1087-1094].",Korean Canon,http://tripitaka.cbeta.org/T20n1120A,2016-10-08
1120B,20,1,勝初瑜伽儀軌真言,Sheng Chu Yujia Yi Gui Zhenyan,Superior Yoga Ritual Mantra,空海,請來,Kūkai,Requested of,唐,Tang,618-907,Gives the text of a dharani in siddham script.,"This work contains Siddham characters not displayed in the NTI Reader. Please see <a href='https://21dzk.l.u-tokyo.ac.jp/SAT/satdb2015.php'>SAT</a> to view them. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞寛治三年寫東寺三密藏本 Source: manuscript from the Tō-ji Sanmitsu Canon, 3rd year of the Kanji era [1087-1094].",Sanmitsu Canon,http://tripitaka.cbeta.org/T20n1120B,2016-10-08
1121,20,1,金剛頂普賢瑜伽大教王經大樂不空金剛薩埵一切時方成就儀,Jingang Ding Puxian Yujia Da Jiao Wang Jing Dale Bukongjingang Sa Duo Yiqie Shi Fang Chengjiu Yi ,Diamond Pinnacle Samantabhadra Mayajalamahatantra Great Bliss Amoghavajrasattva All Time and Space Attainment Ritual,,,,,,,,Gives the ritual text in pentasyllabic Chinese verse.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞大日本續藏經  Source: Dai Nippon Zokuzōkyō [Supplementary Buddhist Canon].,Dai Nippon Zokuzōkyō,http://tripitaka.cbeta.org/T20n1121,2016-10-08
1122,20,1,金剛頂瑜伽他化自在天理趣會普賢修行念誦儀軌,Jingang Ding Yujia Ta Hua Zizai Tian Li Qu Hui Puxian Xiuxing Niansong Yi Gui,Vajra Pinnacle Yoga Paranirmitavasavartin Guiding Principle Assembly Samantabhadra Cultivation Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,Gives pentasyllabic and heptasyllabic Chinese verse and short dharanis for the ritual.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads:  ＜原＞明本, ＜甲＞三十帖策子第十九 Source: Ming canon; 1. Sanjuji sakushi, sheet 19.",Ming canon,http://tripitaka.cbeta.org/T20n1122,2016-10-08
1123,20,1,金剛頂勝初瑜伽普賢菩薩念誦法,Jingang Ding Sheng Chu Yujia Puxian Pusa Niansong Fa,Vajra Pinnacle Superior Yogao Samantabhadra Bodhisattva Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,Gives pentasyllabic Chinese verse and short dharanis.,"Date 746-774 from Lancaster (2004, 'K 1315')",Korean Canon,http://tripitaka.cbeta.org/T20n1123,2016-10-08
1124,20,1,普賢金剛薩埵略瑜伽念誦儀軌,Puxian Jingang Saduo Lue Yujia Niansong Yi Gui,Samantabhadra Vajrasattva Short Yoga Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,Gives text for dharanis and instructions for the ritual.,"Date 720-774 from Lancaster (2004, 'K 1317')",Korean Canon,http://tripitaka.cbeta.org/T20n1124,2016-10-08
1125,20,1,金剛頂瑜伽金剛薩埵五祕密修行念誦儀軌,Jingang Ding Yujia Jingang Saduo Wu Mimi Xiuxing Niansong Yi Gui ,Ritual Procedures for the Practices and Chants of the Five Esoterica of Vajrasattva of the Yoga of the Adamantine Pinnacle,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,Describes a ritual on entering the Mandala of the Five Secret Ones and texts of dharanis.,"Date 746-774 from Lancaster (2004, 'K 1318')",Korean Canon,http://tripitaka.cbeta.org/T20n1125,2016-10-08
1126,20,1,佛說普賢曼拏羅經,Fo Shuo Puxian Man Na Luo Jing,Samantabhadra Mandala Sutra,施護,譯,Dānapāla,Translated,宋,Song,989,"Describes preparation of the mandala, performance of the ritual, visualization, and dharanis.","Date 989 from Lancaster (2004, 'K 1168')",Korean Canon,http://tripitaka.cbeta.org/T20n1126,2016-10-08
1127,20,1,佛說普賢菩薩陀羅尼經,Fo Shuo Puxian Pusa Tuoluoni Jing,Samantabhadrādhāraṇīsūtra,法天,譯,Fa Tian,Translated,宋,Song,986-987,Gives the text of the dharani and describes the miracles from reciting and other merits of the sutra.,"Sanskrit title and date 986-987 from Lancaster (2004, 'K 1151')",Korean Canon,http://tripitaka.cbeta.org/T20n1127,2016-10-08
1128,20,2,最上大乘金剛大教寶王經,Zuishang Dasheng Jingang Da Jiao Bao Wang Jing,Vajragarbharatnarājatantra sūtra,法天,譯,Fa Tian,Translated,宋,Song,994,"The Buddha explains the essentials of the Vajrayāna teaching and outline of the main ritual elements, including abhiseka and mandalas to Indrabodhi.","Sanskrit title and date 994 from Lancaster (2004, 'K 1203')",Korean Canon,http://tripitaka.cbeta.org/T20n1128,2016-10-08
1129,20,3,佛說金剛手菩薩降伏一切部多大教王經,Fo Shuo Jingang Shou Pusa Xiangfu Yiqie Bu Duo Da Jiao Wang Jing,Śrīsarvabhūtaḍāmaratantrasūtra,法天,譯,Fa Tian,Translated,宋,Song,994,Contains a discourse between the Buddha and Vajrapani Bodhisattva. The text for many dharanis is given.,"Sanskrit title and date 994 from Lancaster (2004, 'K 1202')",Korean Canon,http://tripitaka.cbeta.org/T20n1129,2016-10-08
1130,20,1,大乘金剛髻珠菩薩修行分,Dasheng Jingang Jizhu Pusa Xiuxing Fen ,Mahayana Vajra Cudamani Bodhisattva Cultivation,菩提流志,譯,Bodhiruci,Translated,唐,Tang,693,An esoteric text on meditation and bodhisattva cultivation in prose and heptasyllabic verse.,"Date 693 from Lancaster (2004, 'K 83')",Korean Canon,http://tripitaka.cbeta.org/T20n1130,2016-10-08
1131,20,1,聖金剛手菩薩一百八名梵讚,Sheng Jingang Shou Pusa Yibai Ba Ming Fan Zan ,Sacred Vajrapani Bodhisattva One Hundred and Eight Sanskrit Verses,法賢,譯,Faxian,Translated,宋,Song,989-999,A collection of Sanskrit verses in Chinese transliteration.,"Date 989-999 from Lancaster (2004, 'K 1223')",Korean Canon,http://tripitaka.cbeta.org/T20n1131,2016-10-08
1132,20,1,金剛王菩薩祕密念誦儀軌,Jingang Wang Pusa Mimi Niansong Yi Gui,Hevajra Secret Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,Explains the merits of the chanting practice and gives the verses.,"Date 746-774 from Lancaster (Lancaster 2004, 'K 1316')",Korean Canon,http://tripitaka.cbeta.org/T20n1132,2016-10-08
1133,20,1,金剛壽命陀羅尼念誦法,Jingang Shouming Tuoluoni Niansong Fa ,Vajra Longevity Dharani Ritual,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,A lecture on the esoteric longevity ritual and meditation. See also T 1135.,"Date 746-774 from Lancaster (2004, 'K 1316')",Korean Canon,http://tripitaka.cbeta.org/T20n1133,2016-10-08
1134A,20,1,金剛壽命陀羅尼經法,Jingang Shouming Tuoluoni Jing Fa,Vajra Longevity Dharani Sutra Ritual,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,Vairocana Buddha explains the Longevity Ritual and recites the dharanis. Siddham script and Chinese transliteration for the dharanis are given. See also T 1135.,"This text contains Siddham script not displayed in the NTI Reader. See <a href='https://21dzk.l.u-tokyo.ac.jp/SAT/satdb2015.php'>SAT</a> to view them. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享和元年刊豊山大學藏本, ＜甲＞天永元年寫高山寺藏本 Source: Buzan college Canon published first year of the Kyōwa era [1801-1804]; 1. manuscript from the Takayama Temple collection, first year of the Ten'ei era [1110-1113].",Buzan college Canon,http://tripitaka.cbeta.org/T20n1134A,2016-10-08
1134B,20,1,金剛壽命陀羅尼經,Jingang Shouming Tuoluoni Jing,Vajra Longevity Dharani Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,See 1134A.,This text contains Siddham script not displayed in the NTI Reader. See <a href='https://21dzk.l.u-tokyo.ac.jp/SAT/satdb2015.php'>SAT</a> to view them. This text does not appear in the Korean Canon. A Taishō footnote for this text reads:  ＜原＞享和元年刊長谷寺藏本 Source: Hase-dera Canon published first year of the Kyōwa era [1801-1804].,Hase-dera,http://tripitaka.cbeta.org/T20n1134B,2016-10-08
1135,20,1,佛說一切如來金剛壽命陀羅尼經,Fo Shuo Yiqie Rulai Jingang Shouming Tuoluoni Jing,Sarvatathagata Jingang Longevity Dharani Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,A short text of about a thousand characters. The Buddha teaches the four Deva Kings a longevity mantra and a ritual to cure the fear of death. The mertis of the practice and also listed.,"Date 746-774 from Lancaster (2004, 'K 1292')",Korean Canon,http://tripitaka.cbeta.org/T20n1135,2016-10-08
1136,20,1,佛說一切諸如來心光明加持普賢菩薩延命金剛最勝陀羅尼經,Fo Shuo Yiqie Zhu Rulai Xin Guangming Jia Chi Puxian Pusa Yan Ming Jingang Zui Sheng Tuoluoni Jing,Sarvatathagata Mind Radiating Light Empowers Samantabhadra Bodhisattva Longevity Vajra Dharani Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,See T 1135.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads:  ＜原＞東寺三密藏古寫本 Source: Tō-ji Sanmitsu Canon old manuscript.,Sanmitsu Canon,http://tripitaka.cbeta.org/T20n1136,2016-10-08
1137,20,1,佛說善法方便陀羅尼經,Fo Shuo Shanfa Fangbian Tuoluoni Jing,Sumukhanāmadhāraṇīsūtra,失,譯,Unknown,Translated,,,317-420,"The Buddha teaches expedient means and longevity dharanis, which have many merits.","Sanskrit title and date 317-420 from Lancaster (2004, 'K 342')",Korean Canon,http://tripitaka.cbeta.org/T20n1137,2016-10-08
1138A,20,1,金剛祕密善門陀羅尼呪經,Jingang Mimi Shan Men Tuoluoni Zhou Jing,Sumukhanāmadhāraṇīsūtra,失,譯,Unknown,Translated,,,317-420,See T 1137.,"Sanskrit title and date 317-420 from Lancaster (2004, 'K 343')",Korean Canon,http://tripitaka.cbeta.org/T20n1138a,2016-10-08
1138B,20,1,金剛祕密善門陀羅尼經,Jingang Mimi Shan Men Tuoluoni Jing,Sumukhanāmadhāraṇīsūtra,失,譯,Unknown,Translated,,,,See T 1137.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads:  ＜原＞明本, 此經與麗本異同甚繁故別載 Source: Ming Canon; this version differs considerably from the Korean Canon.",Ming Canon,http://tripitaka.cbeta.org/T20n1138b,2016-10-08
1139,20,1,護命法門神呪經,Hu Ming Famen Shen Zhou Jing,Sumukhanāmadhāraṇīsūtra,菩提流志,譯,Bodhiruci,Translated,唐,Tang,693,See T 1137.,"Sanskrit title and date 693 from Lancaster (2004, 'K 351')",Korean Canon,http://tripitaka.cbeta.org/T20n1139,2016-10-08
1140,20,1,佛說延壽妙門陀羅尼經,Fo Shuo Yan Shou Miao Men Tuoluoni Jing,Sumukhanāmadhāraṇīsūtra,法賢,譯,Faxian,Translated,宋,Song,995-997,See T 1137.,"Sanskrit title and date 995-997 from Lancaster (2004, 'K 1236')",Korean Canon,http://tripitaka.cbeta.org/T20n1140,2016-10-08
1141,20,2,慈氏菩薩略修瑜伽念誦法,Cishi Pusa Lue Xiu Yujia Niansong Fa,Maitreya Abbreviated Yoga Liturgy,善無畏,譯,Śubhakarasiṃha,Translated,,,618-907,"Describes the ritual including mantras, mandala, and other chanting. Mantras are given in Siddham script and Chinese transliteration.","This text contains images and Siddham script. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本, ＜甲＞寛治六年寫東寺三密藏本, ＜乙＞高山寺藏古寫本, ＜丙＞貞應元年寫高山寺藏本, ＜丁＞平安時代寫仁和寺藏本 Source: Buzan college Canon, published in the Kyōhō era [1716-1736]; 1. Tō-ji Sanmitsu Canon manuscript, 6th year of the Kanji era [1087-1094]; 2. Takayama Temple collection old manuscript; 3. Takayama Temple collection manuscript, 1st year of the Jōō era [1222-1224]; 4. Ninna-ji collection version, Heian period [794－1192].",Buzan college Canon,http://tripitaka.cbeta.org/T20n1141,2016-10-08
1142,20,1,佛說慈氏菩薩陀羅尼,Fo Shuo Cishi Pusa Tuoluoni,Maitreya Bodhisattva Dharani,法賢,譯,Faxian,Translated,宋,Song,989-999,A short dharani.,"Date 989-999 from Lancaster (2004, 'K 1230d')",Korean Canon,http://tripitaka.cbeta.org/T20n1142,2016-10-08
1143,20,1,佛說慈氏菩薩誓願陀羅尼經,Fo Shuo Cishi Pusa Shiyuan Tuoluoni Jing,Maitreyapratijñādhāraṇī Sūtra,法賢,譯,Faxian,Translated,宋,Song,989-999,A short dharani.,"Sanskrit title and date 989-999 from Lancaster (2004, 'K 1224g')",Korean Canon,http://tripitaka.cbeta.org/T20n1143,2016-10-08
1144,20,1,佛說彌勒菩薩發願王偈,Fo Shuo Mile Pusa Fa Yuan Wang Ji,Maitreyapratijñādhāraṇī Sūtra,工布查布,譯,Gongbuchabu,Translated,,,1644-1911,Chinese verse of repentance and vows.,This text does not appear in the Korean Canon.,,http://tripitaka.cbeta.org/T20n1144,2016-10-08
1145,20,1,虛空藏菩薩能滿諸願最勝心陀羅尼求聞持法,Xūkōng Zàng Púsà néng mǎn zhū yuàn zuì shèng xīn tuóluóní qiú wén chí fǎ,Dharani Methods of Having Requests Heard Akasagarbha Bodhisattva ,善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,717,"Related to the 成就一切義品 Chapter on Rituals for Attainments in the 金剛頂經 Vajraśekharasūtra (T 241) with further explanation of dharanis, mandala, and mudras.","Date 717 from Lancaster (2004, 'K 473')",Korean Canon,http://tripitaka.cbeta.org/T20n1145,2016-10-08
1146,20,1,大虛空藏菩薩念誦法,dà Xūkōng Zàng Púsà niànsòng fǎ,Recitation Methods of the Great Ākāśagarbha Bodhisattva ,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,"Describes esoteric rituals, including the fire ritual, also known as homa-siddhi.","Date 720-774 from Lancaster (2004, 'K 1324')",Korean Canon,http://tripitaka.cbeta.org/T20n1146,2016-10-08
1147,20,1,聖虛空藏菩薩陀羅尼經,Sheng Xukong Zang Pusa Tuoluoni Jing,Saptabuddhakasūtra,法天,譯,Fa Tian,Translated,宋,Song,984,Tells the story of the Buddha saving two suffering monastics by reciting the Dharani of the Seven Buddhas.,"Sanskrit title and date 984 from Lancaster (2004, 'K 1106')",Korean Canon,http://tripitaka.cbeta.org/T20n1147,2016-10-08
1148,20,1,佛說虛空藏菩薩陀羅尼,Fo Shuo Xukong Zang Pusa Tuoluoni,Ākāśagarbhadhāraṇī,法賢,譯,Faxian,Translated,宋,Song,989-999,The text of a short dharani.,"Sanskrit title and date 989-999 from Lancaster (2004, 'K 1230e')",Korean Canon,http://tripitaka.cbeta.org/T20n1148,2016-10-08
1149,20,1,五大虛空藏菩薩速疾大神驗祕密式經,Wu Da Xukong Zang Pusa Su Ji Da Shen Yan Mimi Shi Jing ,"Scripture on the Five Great Akāśagarbha Bodhisattvas Rapid, Great Divine, and Secret Rite of Healing",金剛智,譯,Vajrabodhi,Translated,唐,Tang,618-907,"Describes a ritual relating to the group of five Akāśgarbhas, including formation of the mandala and text of the dharanis.",This text contains images and Siddham script. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享和元年刊長谷寺藏本 Source: Hase-dera Canon version published in the 1st year of the Kyōwa era [1801-1804].,Hase-dera Canon,http://tripitaka.cbeta.org/T20n1149,2016-10-08
1150,20,1,轉法輪菩薩摧魔怨敵法,Zhuan Falun Pusa Cui Mo Yuan Di Fa,Dharmacakrapravartana Bodhisattva Destroys Mara Ritual,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,The Buddha recites the Ten Syllable Usnisa Mudra Mantra for the protection of the ruler and the land.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞黄檗版淨嚴等加筆本 Source: Ōbaku Canon version with annotations by Jōgon.,Ōbaku Canon,http://tripitaka.cbeta.org/T20n1150,2016-10-08
1151,20,1,修習般若波羅蜜菩薩觀行念誦儀軌,Xiu Xi Boreboluomi Pusa Guan Xing Niansong Yi Gui,"Prajnaparamita Bodhisattva Cultivation, Visualization, and Chanting Ritual",不空,譯,Amoghavajra,Translated,唐,Tang,720-774,"Mantras, pentasyllabic Chinese verse, and instructions in prose for the ritual.","Date 720-774 from Lancaster (2004, 'K 1371')",Korean Canon,http://tripitaka.cbeta.org/T20n1151,2016-10-08
